Wavelength, Output Power, 
1500, 12, 
1501, 17, 
1502, 19, 
1503, 18, 
1504, 17, 
1505, 14, 
1506, 10, 
1507, 11, 
1508, 13, 
1509, 16, 
1510, 11, 
1511, 18, 
1512, 19, 
1513, 16, 
1514, 17, 
1515, 10, 
1516, 20, 
1517, 14, 
1518, 15, 
1519, 17, 
1520, 10, 
1521, 15, 
1522, 10, 
1523, 10, 
1524, 10, 
1525, 11, 
1526, 16, 
1527, 18, 
1528, 14, 
1529, 18, 
1530, 11, 
1531, 18, 
1532, 17, 
1533, 15, 
1534, 12, 
1535, 11, 
1536, 19, 
1537, 19, 
1538, 15, 
1539, 12, 
1540, 10, 
1541, 11, 
1542, 12, 
1543, 16, 
1544, 19, 
1545, 11, 
1546, 17, 
1547, 18, 
1548, 13, 
1549, 16, 
1550, 15, 
1551, 17, 
1552, 18, 
1553, 14, 
1554, 19, 
1555, 13, 
1556, 11, 
1557, 18, 
1558, 15, 
1559, 19, 
1560, 19, 
1561, 17, 
1562, 18, 
1563, 12, 
1564, 16, 
1565, 20, 
1566, 16, 
1567, 20, 
1568, 16, 
1569, 18, 
1570, 20, 
1571, 13, 
1572, 18, 
1573, 19, 
1574, 14, 
1575, 16, 
1576, 10, 
1577, 18, 
1578, 15, 
1579, 13, 
1580, 20, 
1581, 10, 
1582, 11, 
1583, 15, 
1584, 12, 
1585, 18, 
1586, 10, 
1587, 14, 
1588, 16, 
1589, 11, 
1590, 18, 
1591, 12, 
1592, 20, 
1593, 15, 
1594, 11, 
1595, 13, 
1596, 20, 
1597, 19, 
1598, 11, 
1599, 15, 
Wavelength, Output Power, 
1500, 10, 
1501, 17, 
1502, 15, 
1503, 16, 
1504, 14, 
1505, 14, 
1506, 20, 
1507, 12, 
1508, 12, 
1509, 13, 
1510, 18, 
1511, 14, 
1512, 20, 
1513, 15, 
1514, 12, 
1515, 11, 
1516, 14, 
1517, 13, 
1518, 11, 
1519, 12, 
1520, 20, 
1521, 16, 
1522, 15, 
1523, 19, 
1524, 11, 
1525, 14, 
1526, 19, 
1527, 16, 
1528, 18, 
1529, 18, 
1530, 16, 
1531, 17, 
1532, 18, 
1533, 11, 
1534, 10, 
1535, 10, 
1536, 19, 
1537, 16, 
1538, 17, 
1539, 12, 
1540, 15, 
1541, 13, 
1542, 19, 
1543, 13, 
1544, 13, 
1545, 11, 
1546, 15, 
1547, 15, 
1548, 12, 
1549, 10, 
1550, 20, 
1551, 19, 
1552, 15, 
1553, 14, 
1554, 14, 
1555, 11, 
1556, 18, 
1557, 15, 
1558, 17, 
1559, 20, 
1560, 10, 
1561, 15, 
1562, 19, 
1563, 17, 
1564, 13, 
1565, 13, 
1566, 14, 
1567, 19, 
1568, 12, 
1569, 20, 
1570, 13, 
1571, 20, 
1572, 17, 
1573, 10, 
1574, 13, 
1575, 19, 
1576, 17, 
1577, 15, 
1578, 18, 
1579, 10, 
1580, 20, 
1581, 16, 
1582, 20, 
1583, 11, 
1584, 14, 
1585, 17, 
1586, 15, 
1587, 19, 
1588, 15, 
1589, 18, 
1590, 18, 
1591, 14, 
1592, 19, 
1593, 17, 
1594, 17, 
1595, 18, 
1596, 18, 
1597, 19, 
1598, 20, 
1599, 19, 
1600, 15, 
1601, 20, 
1602, 10, 
1603, 14, 
1604, 13, 
1605, 16, 
1606, 16, 
1607, 11, 
1608, 17, 
1609, 17, 
1610, 14, 
1611, 17, 
1612, 17, 
1613, 19, 
1614, 19, 
1615, 16, 
1616, 17, 
1617, 18, 
1618, 12, 
1619, 12, 
1620, 17, 
1621, 15, 
1622, 15, 
1623, 15, 
1624, 15, 
1625, 10, 
1626, 18, 
1627, 15, 
1628, 15, 
1629, 10, 
1630, 16, 
1631, 12, 
1632, 18, 
1633, 10, 
1634, 12, 
1635, 10, 
1636, 16, 
1637, 17, 
1638, 15, 
1639, 15, 
1640, 18, 
1641, 11, 
1642, 16, 
1643, 17, 
1644, 16, 
1645, 19, 
1646, 10, 
1647, 17, 
1648, 12, 
1649, 15, 
Time, Channel 1, Channel 2, Channel 3, Channel 4, 
0.7595608234405518, 6, 20, 14, 46, 
0.8627419471740723, 10, 18, 18, 7, 
0.9527742862701416, 12, 39, 51, 60, 
1.0468239784240723, 17, 6, 41, 55, 
1.141333818435669, 16, 3, 16, 62, 
1.2330987453460693, 3, 21, 24, 80, 
1.3269178867340088, 4, 15, 31, 8, 
